ip,action_method,action_path,score,recon_correlated,history_len,long_history_len,decision
192.168.143.2,POST,/users/register,0,f,1,1,NORMAL
192.168.143.2,POST,/users/login,0,f,2,2,NORMAL
192.168.143.2,POST,/users/register,0,f,3,3,NORMAL
192.168.143.2,POST,/users/login,50,f,4,4,SOSPECHOSO
192.168.143.2,POST,/users/register,50,f,5,5,SOSPECHOSO
192.168.143.2,POST,/users/login,50,f,6,6,SOSPECHOSO
192.168.143.2,POST,/users/register,50,f,7,7,SOSPECHOSO
192.168.143.2,POST,/users/login,50,f,8,8,SOSPECHOSO
192.168.143.2,POST,/users/register,50,f,9,9,SOSPECHOSO
192.168.143.2,POST,/users/login,50,f,10,10,SOSPECHOSO
91.132.80.3,GET,/products/,0,f,1,1,NORMAL
91.132.80.3,POST,/products/10/stock,60,f,2,2,SOSPECHOSO
28.166.174.84,GET,/products/,0,f,1,1,NORMAL
28.166.174.84,POST,/products/11/stock,60,f,2,2,SOSPECHOSO
60.144.123.143,GET,/products/,0,f,1,1,NORMAL
60.144.123.143,GET,/products/7,0,f,2,2,NORMAL
60.144.123.143,POST,/products/7/stock,0,f,3,3,NORMAL
60.144.123.143,GET,/products/,0,f,4,4,NORMAL
15.184.36.101,GET,/products/,0,f,1,1,NORMAL
15.184.36.101,GET,/products/15,0,f,2,2,NORMAL
15.184.36.101,POST,/products/15/stock,0,f,3,3,NORMAL
15.184.36.101,GET,/products/,0,f,4,4,NORMAL
15.244.229.191,GET,/products/,0,f,1,1,NORMAL
15.244.229.191,POST,/products/7/stock,60,f,2,2,SOSPECHOSO
47.168.145.135,GET,/products/,0,f,1,1,NORMAL
47.168.145.135,GET,/products/7,0,f,2,2,NORMAL
47.168.145.135,POST,/products/7/stock,0,f,3,3,NORMAL
47.168.145.135,GET,/products/,0,f,4,4,NORMAL
45.224.209.240,GET,/products/,0,f,1,1,NORMAL
45.224.209.240,GET,/products/3,0,f,2,2,NORMAL
45.224.209.240,POST,/products/3/stock,0,f,3,3,NORMAL
45.224.209.240,GET,/products/,0,f,4,4,NORMAL
35.77.236.69,GET,/products/9,0,f,1,1,NORMAL
35.77.236.69,GET,/products/9,0,f,2,2,NORMAL
35.77.236.69,GET,/products/9,0,f,3,3,NORMAL
35.77.236.69,GET,/products/9,50,f,4,4,SOSPECHOSO
35.77.236.69,GET,/products/9,150,t,5,5,BLOQUEADO
17.203.181.99,GET,/products/,0,f,1,1,NORMAL
17.203.181.99,GET,/products/13,0,f,2,2,NORMAL
17.203.181.99,POST,/products/13/stock,0,f,3,3,NORMAL
17.203.181.99,GET,/products/,0,f,4,4,NORMAL
11.51.4.148,GET,/products/,0,f,1,1,NORMAL
11.51.4.148,GET,/products/7,0,f,2,2,NORMAL
11.51.4.148,POST,/products/7/stock,0,f,3,3,NORMAL
11.51.4.148,GET,/products/,0,f,4,4,NORMAL
92.231.75.150,GET,/products/,0,f,1,1,NORMAL
92.231.75.150,POST,/products/18/stock,60,f,2,2,SOSPECHOSO
27.113.73.112,GET,/products/9,0,f,1,1,NORMAL
27.113.73.112,GET,/products/9,0,f,2,2,NORMAL
27.113.73.112,GET,/products/9,0,f,3,3,NORMAL
27.113.73.112,GET,/products/9,50,f,4,4,SOSPECHOSO
27.113.73.112,GET,/products/9,150,t,5,5,BLOQUEADO
96.188.153.238,GET,/products/,0,f,1,1,NORMAL
96.188.153.238,POST,/products/16/stock,60,f,2,2,SOSPECHOSO
29.203.249.133,GET,/products/,0,f,1,1,NORMAL
29.203.249.133,POST,/products/1/stock,60,f,2,2,SOSPECHOSO
89.243.250.69,GET,/products/19,0,f,1,1,NORMAL
89.243.250.69,GET,/products/4,0,f,2,2,NORMAL
89.243.250.69,GET,/products/10,0,f,3,3,NORMAL
89.243.250.69,GET,/products/14,0,f,4,4,NORMAL
89.243.250.69,GET,/products/7,0,f,5,5,NORMAL
89.243.250.69,GET,/products/11,0,f,6,6,NORMAL
89.243.250.69,GET,/products/3,0,f,7,7,NORMAL
89.243.250.69,GET,/products/7,0,f,8,8,NORMAL
89.243.250.69,GET,/products/7,0,f,9,9,NORMAL
