ip,action_method,action_path,score,recon_correlated,history_len,long_history_len,razones,adaptive_flags,decision
192.168.143.2,POST,/users/register,0,f,1,1,comportamiento normal,night_hours,NORMAL
192.168.143.2,POST,/users/login,0,f,2,2,comportamiento normal,night_hours,NORMAL
192.168.143.2,POST,/users/register,0,f,3,3,comportamiento normal,night_hours,NORMAL
192.168.143.2,POST,/users/login,50,f,4,4,secuencia repetitiva de acciones,night_hours,SOSPECHOSO
192.168.143.2,POST,/users/register,50,f,5,5,secuencia repetitiva de acciones,night_hours,SOSPECHOSO
192.168.143.2,POST,/users/login,50,f,6,6,secuencia repetitiva de acciones,night_hours,SOSPECHOSO
192.168.143.2,POST,/users/register,50,f,7,7,secuencia repetitiva de acciones,night_hours,SOSPECHOSO
192.168.143.2,POST,/users/login,50,f,8,8,secuencia repetitiva de acciones,night_hours,SOSPECHOSO
192.168.143.2,POST,/users/register,50,f,9,9,secuencia repetitiva de acciones,night_hours,SOSPECHOSO
192.168.143.2,POST,/users/login,50,f,10,10,secuencia repetitiva de acciones,night_hours,SOSPECHOSO
91.132.80.3,GET,/products/,0,f,1,1,comportamiento normal,night_hours,NORMAL
91.132.80.3,POST,/products/10/stock,60,f,2,2,modificó stock sin consultar producto,night_hours,SOSPECHOSO
28.166.174.84,GET,/products/,0,f,1,1,comportamiento normal,night_hours,NORMAL
28.166.174.84,POST,/products/11/stock,60,f,2,2,modificó stock sin consultar producto,night_hours,SOSPECHOSO
60.144.123.143,GET,/products/,0,f,1,1,comportamiento normal,night_hours,NORMAL
60.144.123.143,GET,/products/7,0,f,2,2,comportamiento normal,night_hours,NORMAL
60.144.123.143,POST,/products/7/stock,0,f,3,3,comportamiento normal,night_hours,NORMAL
60.144.123.143,GET,/products/,0,f,4,4,comportamiento normal,night_hours,NORMAL
15.184.36.101,GET,/products/,0,f,1,1,comportamiento normal,night_hours,NORMAL
15.184.36.101,GET,/products/15,0,f,2,2,comportamiento normal,night_hours,NORMAL
15.184.36.101,POST,/products/15/stock,0,f,3,3,comportamiento normal,night_hours,NORMAL
15.184.36.101,GET,/products/,0,f,4,4,comportamiento normal,night_hours,NORMAL
15.244.229.191,GET,/products/,0,f,1,1,comportamiento normal,night_hours,NORMAL
15.244.229.191,POST,/products/7/stock,60,f,2,2,modificó stock sin consultar producto,night_hours,SOSPECHOSO
47.168.145.135,GET,/products/,0,f,1,1,comportamiento normal,night_hours,NORMAL
47.168.145.135,GET,/products/7,0,f,2,2,comportamiento normal,night_hours,NORMAL
47.168.145.135,POST,/products/7/stock,0,f,3,3,comportamiento normal,night_hours,NORMAL
47.168.145.135,GET,/products/,0,f,4,4,comportamiento normal,night_hours,NORMAL
45.224.209.240,GET,/products/,0,f,1,1,comportamiento normal,night_hours,NORMAL
45.224.209.240,GET,/products/3,0,f,2,2,comportamiento normal,night_hours,NORMAL
45.224.209.240,POST,/products/3/stock,0,f,3,3,comportamiento normal,night_hours,NORMAL
45.224.209.240,GET,/products/,0,f,4,4,comportamiento normal,night_hours,NORMAL
35.77.236.69,GET,/products/9,0,f,1,1,comportamiento normal,night_hours,NORMAL
35.77.236.69,GET,/products/9,0,f,2,2,comportamiento normal,night_hours,NORMAL
35.77.236.69,GET,/products/9,0,f,3,3,comportamiento normal,night_hours,NORMAL
35.77.236.69,GET,/products/9,50,f,4,4,secuencia repetitiva de acciones,night_hours,SOSPECHOSO
35.77.236.69,GET,/products/9,150,t,5,5,secuencia repetitiva de acciones + recon_attack_correlation: recon_events=5 attacks=['secuencia repetitiva de acciones'] score 50→150 (x3.0),night_hours,BLOQUEADO
17.203.181.99,GET,/products/,0,f,1,1,comportamiento normal,night_hours,NORMAL
17.203.181.99,GET,/products/13,0,f,2,2,comportamiento normal,night_hours,NORMAL
17.203.181.99,POST,/products/13/stock,0,f,3,3,comportamiento normal,night_hours,NORMAL
17.203.181.99,GET,/products/,0,f,4,4,comportamiento normal,night_hours,NORMAL
11.51.4.148,GET,/products/,0,f,1,1,comportamiento normal,night_hours,NORMAL
11.51.4.148,GET,/products/7,0,f,2,2,comportamiento normal,night_hours,NORMAL
11.51.4.148,POST,/products/7/stock,0,f,3,3,comportamiento normal,night_hours,NORMAL
11.51.4.148,GET,/products/,0,f,4,4,comportamiento normal,night_hours,NORMAL
92.231.75.150,GET,/products/,0,f,1,1,comportamiento normal,night_hours,NORMAL
92.231.75.150,POST,/products/18/stock,60,f,2,2,modificó stock sin consultar producto,night_hours,SOSPECHOSO
27.113.73.112,GET,/products/9,0,f,1,1,comportamiento normal,night_hours,NORMAL
27.113.73.112,GET,/products/9,0,f,2,2,comportamiento normal,night_hours,NORMAL
27.113.73.112,GET,/products/9,0,f,3,3,comportamiento normal,night_hours,NORMAL
27.113.73.112,GET,/products/9,50,f,4,4,secuencia repetitiva de acciones,night_hours,SOSPECHOSO
27.113.73.112,GET,/products/9,150,t,5,5,secuencia repetitiva de acciones + recon_attack_correlation: recon_events=5 attacks=['secuencia repetitiva de acciones'] score 50→150 (x3.0),night_hours,BLOQUEADO
96.188.153.238,GET,/products/,0,f,1,1,comportamiento normal,night_hours,NORMAL
96.188.153.238,POST,/products/16/stock,60,f,2,2,modificó stock sin consultar producto,night_hours,SOSPECHOSO
29.203.249.133,GET,/products/,0,f,1,1,comportamiento normal,night_hours,NORMAL
29.203.249.133,POST,/products/1/stock,60,f,2,2,modificó stock sin consultar producto,night_hours,SOSPECHOSO
89.243.250.69,GET,/products/19,0,f,1,1,comportamiento normal,night_hours,NORMAL
89.243.250.69,GET,/products/4,0,f,2,2,comportamiento normal,night_hours,NORMAL
89.243.250.69,GET,/products/10,0,f,3,3,comportamiento normal,night_hours,NORMAL
89.243.250.69,GET,/products/14,0,f,4,4,comportamiento normal,night_hours,NORMAL
89.243.250.69,GET,/products/7,0,f,5,5,comportamiento normal,night_hours,NORMAL
89.243.250.69,GET,/products/11,0,f,6,6,comportamiento normal,night_hours,NORMAL
89.243.250.69,GET,/products/3,0,f,7,7,comportamiento normal,night_hours,NORMAL
89.243.250.69,GET,/products/7,0,f,8,8,comportamiento normal,night_hours,NORMAL
